variable,p_value,rank_biserial_r,CLES_P(red>white),abs_r
total_sulfur_dioxide,0.0,0.9063728070141838,0.04681359649290811,0.9063728070141838
chlorides,0.0,-0.8914985146647647,0.9457492573323824,0.8914985146647647
volatile_acidity,0.0,-0.8027864751116651,0.9013932375558326,0.8027864751116651
free_sulfur_dioxide,0.0,0.6970348965040676,0.1514825517479662,0.6970348965040676
sulphates,0.0,-0.6624214654371314,0.8312107327185657,0.6624214654371314
fixed_acidity,1.4389300228621962e-255,-0.5675648137578841,0.7837824068789421,0.5675648137578841
density,1.4530913918780195e-237,-0.5473340958556427,0.7736670479278214,0.5473340958556427
pH,5.47225819092577e-162,-0.45094754760720956,0.7254737738036048,0.45094754760720956
residual_sugar,5.6340728348736734e-95,0.34378979716549063,0.3281051014172547,0.34378979716549063
citric_acid,1.3125581817242063e-38,0.2160043626695023,0.39199781866524885,0.2160043626695023
alcohol,0.18184514400050011,0.022193204153984514,0.48890339792300774,0.022193204153984514
