test_family,variable,p_value,bonferroni_adj_p,bonferroni_reject,fdr_adj_p,fdr_reject,raw_reject
red_vs_white_MWU,fixed_acidity,1.4389300228621962e-255,7.914115125742079e-254,True,1.3190191876236798e-254,True,True
red_vs_white_MWU,volatile_acidity,0.0,0.0,True,0.0,True,True
red_vs_white_MWU,citric_acid,1.3125581817242063e-38,7.219069999483135e-37,True,3.007945833117973e-38,True,True
red_vs_white_MWU,residual_sugar,5.6340728348736734e-95,3.0987400591805203e-93,True,2.2133857565575148e-94,True,True
red_vs_white_MWU,chlorides,0.0,0.0,True,0.0,True,True
red_vs_white_MWU,free_sulfur_dioxide,0.0,0.0,True,0.0,True,True
red_vs_white_MWU,total_sulfur_dioxide,0.0,0.0,True,0.0,True,True
red_vs_white_MWU,density,1.4530913918780195e-237,7.992002655329107e-236,True,1.1417146650470155e-236,True,True
red_vs_white_MWU,pH,5.47225819092577e-162,3.0097420050091735e-160,True,3.0097420050091738e-161,True,True
red_vs_white_MWU,sulphates,0.0,0.0,True,0.0,True,True
red_vs_white_MWU,alcohol,0.18184514400050011,1.0,False,0.20002965840055012,False,False
red_pearson_quality,fixed_acidity,6.495635009279691e-07,3.57259925510383e-05,True,8.713656719765439e-07,True,True
red_spearman_quality,fixed_acidity,4.801219639181434e-06,0.0002640670801549789,True,6.287311432261402e-06,True,True
red_pearson_quality,volatile_acidity,2.0517148070136998e-59,1.1284431438575348e-57,True,6.6379008462207935e-59,True,True
red_spearman_quality,volatile_acidity,2.7349440224656153e-56,1.5042192123560883e-54,True,8.35677340197827e-56,True,True
red_pearson_quality,citric_acid,4.9912952505083075e-20,2.745212387779569e-18,True,1.0167453288072478e-19,True,True
red_spearman_quality,citric_acid,6.1589522852157746e-18,3.387423756868676e-16,True,1.2097941988816702e-17,True,True
red_pearson_quality,residual_sugar,0.5832180131580499,1.0,False,0.5832180131580499,False,False
red_spearman_quality,residual_sugar,0.20024535327856594,1.0,False,0.2117979698138678,False,False
red_pearson_quality,chlorides,2.3133826540584222e-07,1.2723604597321321e-05,True,3.1809011493303305e-07,True,True
red_spearman_quality,chlorides,1.8828578369578583e-14,1.035571810326822e-12,True,3.236161907271319e-14,True,True
red_pearson_quality,free_sulfur_dioxide,0.04283397950814128,1.0,False,0.050124869637186605,False,True
red_spearman_quality,free_sulfur_dioxide,0.02288322277691533,1.0,False,0.027360375059355287,True,True
red_pearson_quality,total_sulfur_dioxide,8.621703423655313e-14,4.7419368830104224e-12,True,1.436950570609219e-13,True,True
red_spearman_quality,total_sulfur_dioxide,2.046487847598198e-15,1.1255683161790089e-13,True,3.751894387263364e-15,True,True
red_pearson_quality,density,1.8749566520103744e-12,1.0312261586057059e-10,True,2.9463604531591597e-12,True,True
red_spearman_quality,density,9.91813916467906e-13,5.454976540573483e-11,True,1.604404864874554e-12,True,True
red_pearson_quality,pH,0.020962778651473783,1.0,False,0.025621173907356843,True,True
red_spearman_quality,pH,0.08084594364705264,1.0,False,0.09263597709558115,False,False
red_pearson_quality,sulphates,1.8020884534524085e-24,9.911486493988246e-23,True,3.81211018999548e-24,True,True
red_spearman_quality,sulphates,3.477695182639372e-55,1.9127323504516548e-53,True,1.0067012370798183e-54,True,True
red_pearson_quality,alcohol,2.831476979239139e-91,1.5573123385815264e-89,True,9.733202116134541e-91,True,True
red_spearman_quality,alcohol,2.726837739847405e-92,1.4997607569160728e-90,True,9.998405046107152e-92,True,True
white_pearson_quality,fixed_acidity,1.4798856790513524e-15,8.139371234782438e-14,True,2.8066797361318755e-15,True,True
white_spearman_quality,fixed_acidity,3.183308474741962e-09,1.750819661108079e-07,True,4.607420160810735e-09,True,True
white_pearson_quality,volatile_acidity,4.673261270708628e-43,2.5702936988897455e-41,True,1.1175189995172807e-42,True,True
white_spearman_quality,volatile_acidity,7.417220521649196e-44,4.079471286907058e-42,True,1.854305130412299e-43,True,True
white_pearson_quality,citric_acid,0.5193459380122428,1.0,False,0.5389438979372331,False,False
white_spearman_quality,citric_acid,0.19955893221186494,1.0,False,0.2117979698138678,False,False
white_pearson_quality,residual_sugar,7.72400468479552e-12,4.2482025766375363e-10,True,1.1481628585506856e-11,True,True
white_spearman_quality,residual_sugar,8.821910957890522e-09,4.852051026839787e-07,True,1.2441156479076378e-08,True,True
white_pearson_quality,chlorides,6.506541750101804e-50,3.5785979625559923e-48,True,1.789298981277996e-49,True,True
white_spearman_quality,chlorides,6.907550191370827e-113,3.799152605253955e-111,True,3.1659605043782955e-112,True,True
white_pearson_quality,free_sulfur_dioxide,0.5681271459219959,1.0,False,0.5786480189946255,False,False
white_spearman_quality,free_sulfur_dioxide,0.09703375864964624,1.0,False,0.10891544338225599,False,False
white_pearson_quality,total_sulfur_dioxide,6.991898124262763e-35,3.8455439683445194e-33,True,1.538217587337808e-34,True,True
white_spearman_quality,total_sulfur_dioxide,6.582656786215242e-44,3.620461232418383e-42,True,1.724029158294468e-43,True,True
white_pearson_quality,density,1.727987871163691e-107,9.5039332914003e-106,True,7.310717916461769e-107,True,True
white_spearman_quality,density,9.497077980306564e-140,5.22339288916861e-138,True,4.7485389901532815e-139,True,True
white_pearson_quality,pH,3.0806128862186805e-12,1.6943370874202743e-10,True,4.706491909500762e-12,True,True
white_spearman_quality,pH,1.656015674201484e-14,9.108086208108161e-13,True,2.9380923251961815e-14,True,True
white_pearson_quality,sulphates,0.00017097924667308526,0.00940385856701969,True,0.00021869438527952765,True,True
white_spearman_quality,sulphates,0.01970573852864164,1.0,False,0.02463217316080205,True,True
white_pearson_quality,alcohol,5.6147702495137514e-226,3.0881236372325633e-224,True,3.431248485813959e-225,True,True
white_spearman_quality,alcohol,1.6591955335865496e-231,9.125575434726023e-230,True,1.140696929340753e-230,True,True
