,Red,Red,Red,Red,Red,Red,Red,Red,White,White,White,White,White,White,White,White
,mean,median,variance,std,IQR,range,skewness,CV_%,mean,median,variance,std,IQR,range,skewness,CV_%
variable,,,,,,,,,,,,,,,,
fixed_acidity,8.31963727329581,7.9,3.0314163889978167,1.7410963181276953,2.0999999999999996,11.3,0.9818292953262073,20.927550816623082,6.854787668436097,6.8,0.7121135857004643,0.843868227687513,1.0,10.399999999999999,0.6475530855160633,12.31063992796205
volatile_acidity,0.5278205128205128,0.52,0.032062377651551614,0.17905970415353537,0.25,1.46,0.6709623963499574,33.924354928287,0.27824111882400976,0.26,0.010159540992172523,0.10079454842486534,0.11000000000000001,1.02,1.576496515957486,36.22561210610243
citric_acid,0.2709756097560976,0.26,0.03794748313440581,0.19480113740531857,0.32999999999999996,1.0,0.3180385895475358,71.8888085834209,0.33419150673744386,0.32,0.014645793009328216,0.12101980420298249,0.12,1.66,1.2815277799152378,36.21271090472721
residual_sugar,2.53880550343965,2.2,1.9878971329859634,1.4099280595072798,0.7000000000000002,14.6,4.536394788805638,55.5350954453607,6.391414863209474,5.2,25.725770164385946,5.072057784014881,8.200000000000001,65.2,1.0767638711454448,79.35735502339034
chlorides,0.08746654158849279,0.079,0.0022151426533009912,0.0470653020100901,0.01999999999999999,0.599,5.675016527504259,53.80949235596857,0.04577235606369946,0.043,0.00047733370982459155,0.021847968093728798,0.014000000000000005,0.33699999999999997,5.0217921696710315,47.73179703339697
free_sulfur_dioxide,15.874921826141339,14.0,109.414883833059,10.460156969809725,14.0,71.0,1.2493938474342525,65.89107703563563,35.30808493262556,34.0,289.2427199993196,17.00713732523259,23.0,287.0,1.4063140718346216,48.16782716390706
total_sulfur_dioxide,46.46779237023139,38.0,1082.1023725325824,32.895324478299074,40.0,283.0,1.5141091878506638,70.79166622809645,138.36065741118824,134.0,1806.0854908480976,42.49806455414291,59.0,431.0,0.3905901775815236,30.715425431844174
density,0.9967466791744841,0.99675,3.562029453326973e-06,0.0018873339538425554,0.002234999999999987,0.013619999999999965,0.07122077153539946,0.1893494097623345,0.9940273764801959,0.99374,8.945524185781195e-06,0.0029909069169369337,0.004377499999999923,0.05186999999999997,0.9774735389049212,0.3008877811321046
pH,3.3111131957473416,3.31,0.023835180545412844,0.15438646490354277,0.18999999999999995,1.2699999999999996,0.19350175891005525,4.662675534676085,3.1882666394446715,3.18,0.02280118108410971,0.1510005996150668,0.18999999999999995,1.0999999999999996,0.457642339253789,4.736134605146071
sulphates,0.6581488430268917,0.62,0.028732616129761954,0.16950697959010996,0.17999999999999994,1.67,2.426393455449087,25.75511320669206,0.48984687627603113,0.47,0.013024705974516444,0.1141258339488323,0.14000000000000007,0.8600000000000001,0.9768943947733427,23.298267167987785
alcohol,10.422983114446529,10.2,1.1356473950196642,1.0656675818563988,1.5999999999999996,6.5,0.8600210646862131,10.224209040302055,10.51426704777011,10.4,1.5144269817749154,1.2306205677522684,1.9000000000000004,6.199999999999999,0.4871927332668164,11.70429248335728
